,label,area (sq µm),division_number,division_period
1304,1304,856,0,0
1305,1305,861,0,0
1306,1306,867,0,0
1307,1307,873,0,0
1308,1308,907,0,0
1309,1309,889,0,0
1310,1310,894,0,0
1311,1311,891,0,0
1312,1312,907,0,0
1313,1313,908,0,0
1314,1314,918,0,0
1315,1315,909,0,0
1316,1316,928,0,0
1317,1317,926,0,0
1318,1318,937,0,0
1319,1319,936,0,0
1320,1320,937,0,0
1321,1321,939,0,0
1322,1322,952,0,0
1323,1323,956,0,0
1324,1324,955,0,0
1325,1325,954,0,0
1326,1326,974,0,0
1327,1327,963,0,0
1328,1328,983,0,0
1329,1329,990,0,0
1330,1330,992,0,0
1331,1331,1006,0,0
1332,1332,998,0,0
1333,1333,1001,0,0
1334,1334,1012,0,0
1335,1335,1014,0,0
1336,1336,1029,0,0
1337,1337,1054,0,0
1338,1338,1060,0,0
1339,1339,1073,0,0
1340,1340,1088,0,0
1341,1341,1081,0,0
1342,1342,1093,0,0
1343,1343,1101,0,0
1344,1344,1103,0,0
1345,1345,1094,0,0
1346,1346,1098,0,0
1347,1347,1109,0,0
1348,1348,1121,0,0
1349,1349,1125,0,0
1350,1350,692,14,83
1351,1351,685,0,0
1352,1352,697,0,0
1353,1353,703,0,0
1354,1354,704,0,0
1355,1355,701,0,0
1356,1356,706,0,0
1357,1357,721,0,0
1358,1358,714,0,0
1359,1359,720,0,0
1360,1360,728,0,0
1361,1361,746,0,0
1362,1362,731,0,0
1363,1363,732,0,0
1364,1364,742,0,0
1365,1365,754,0,0
1366,1366,744,0,0
1367,1367,758,0,0
1368,1368,762,0,0
1369,1369,765,0,0
1370,1370,768,0,0
1371,1371,781,0,0
1372,1372,785,0,0
1373,1373,784,0,0
1374,1374,789,0,0
1375,1375,798,0,0
1376,1376,800,0,0
1377,1377,811,0,0
1378,1378,807,0,0
1379,1379,811,0,0
1380,1380,821,0,0
1381,1381,825,0,0
1382,1382,825,0,0
1383,1383,837,0,0
1384,1384,844,0,0
1385,1385,853,0,0
1386,1386,856,0,0
1387,1387,863,0,0
1388,1388,865,0,0
1389,1389,879,0,0
1390,1390,876,0,0
1391,1391,882,0,0
1392,1392,890,0,0
1393,1393,894,0,0
1394,1394,897,0,0
1395,1395,905,0,0
1396,1396,916,0,0
1397,1397,915,0,0
1398,1398,915,0,0
1399,1399,925,0,0
1400,1400,932,0,0
1401,1401,938,0,0
1402,1402,944,0,0
1403,1403,949,0,0
1404,1404,949,0,0
1405,1405,960,0,0
1406,1406,968,0,0
1407,1407,973,0,0
1408,1408,981,0,0
1409,1409,986,0,0
1410,1410,994,0,0
1411,1411,995,0,0
1412,1412,999,0,0
1413,1413,1007,0,0
1414,1414,1010,0,0
1415,1415,1021,0,0
1416,1416,1031,0,0
1417,1417,1036,0,0
1418,1418,1039,0,0
1419,1419,1050,0,0
1420,1420,1055,0,0
1421,1421,1076,0,0
1422,1422,1101,0,0
1423,1423,1085,0,0
1424,1424,1087,0,0
1425,1425,1095,0,0
1426,1426,1106,0,0
1427,1427,1113,0,0
1428,1428,1123,0,0
1429,1429,1137,0,0
1430,1430,1110,0,0
1431,1431,1123,0,0
1432,1432,1129,0,0
1433,1433,1130,0,0
1434,1434,1139,0,0
1435,1435,1124,0,0
1436,1436,638,15,86
1437,1437,629,0,0
1438,1438,641,0,0
1439,1439,638,0,0
1440,1440,637,0,0
1441,1441,639,0,0
1442,1442,654,0,0
1443,1443,651,0,0
1444,1444,657,0,0
1445,1445,670,0,0
1446,1446,675,0,0
1447,1447,675,0,0
1448,1448,680,0,0
1449,1449,686,0,0
1450,1450,682,0,0
1451,1451,694,0,0
1452,1452,693,0,0
1453,1453,696,0,0
1454,1454,710,0,0
1455,1455,705,0,0
1456,1456,708,0,0
1457,1457,706,0,0
1458,1458,724,0,0
1459,1459,724,0,0
1460,1460,734,0,0
1461,1461,738,0,0
1462,1462,740,0,0
1463,1463,735,0,0
1464,1464,749,0,0
1465,1465,754,0,0
1466,1466,752,0,0
1467,1467,748,0,0
1468,1468,755,0,0
1469,1469,767,0,0
1470,1470,775,0,0
1471,1471,780,0,0
1472,1472,779,0,0
1473,1473,790,0,0
1474,1474,796,0,0
1475,1475,809,0,0
1476,1476,813,0,0
1477,1477,816,0,0
1478,1478,822,0,0
1479,1479,829,0,0
1480,1480,833,0,0
1481,1481,829,0,0
1482,1482,837,0,0
1483,1483,850,0,0
1484,1484,848,0,0
1485,1485,853,0,0
1486,1486,852,0,0
1487,1487,868,0,0
1488,1488,872,0,0
1489,1489,875,0,0
1490,1490,882,0,0
1491,1491,888,0,0
1492,1492,888,0,0
1493,1493,904,0,0
1494,1494,907,0,0
1495,1495,911,0,0
1496,1496,912,0,0
1497,1497,935,0,0
1498,1498,917,0,0
1499,1499,931,0,0
1500,1500,941,0,0
1501,1501,949,0,0
1502,1502,954,0,0
1503,1503,951,0,0
1504,1504,953,0,0
1505,1505,959,0,0
1506,1506,960,0,0
1507,1507,967,0,0
1508,1508,975,0,0
1509,1509,982,0,0
1510,1510,988,0,0
1511,1511,991,0,0
1512,1512,995,0,0
1513,1513,1003,0,0
1514,1514,1003,0,0
1515,1515,1015,0,0
1516,1516,1029,0,0
1517,1517,1049,0,0
1518,1518,1037,0,0
1519,1519,1048,0,0
1520,1520,1045,0,0
1521,1521,1041,0,0
1522,1522,1051,0,0
1523,1523,1070,0,0
1524,1524,622,16,88
1525,1525,620,0,0
1526,1526,633,0,0
1527,1527,631,0,0
1528,1528,637,0,0
1529,1529,633,0,0
1530,1530,639,0,0
1531,1531,641,0,0
1532,1532,649,0,0
1533,1533,656,0,0
1534,1534,656,0,0
1535,1535,656,0,0
1536,1536,666,0,0
1537,1537,665,0,0
1538,1538,672,0,0
1539,1539,675,0,0
1540,1540,679,0,0
1541,1541,684,0,0
1542,1542,686,0,0
1543,1543,690,0,0
1544,1544,688,0,0
1545,1545,700,0,0
1546,1546,703,0,0
1547,1547,709,0,0
1548,1548,714,0,0
1549,1549,716,0,0
1550,1550,735,0,0
1551,1551,730,0,0
1552,1552,737,0,0
1553,1553,736,0,0
1554,1554,741,0,0
1555,1555,737,0,0
1556,1556,758,0,0
1557,1557,764,0,0
1558,1558,759,0,0
1559,1559,765,0,0
1560,1560,756,0,0
1561,1561,766,0,0
1562,1562,772,0,0
1563,1563,796,0,0
1564,1564,792,0,0
1565,1565,805,0,0
1566,1566,788,0,0
1567,1567,805,0,0
1568,1568,808,0,0
1569,1569,819,0,0
1570,1570,816,0,0
1571,1571,821,0,0
1572,1572,832,0,0
1573,1573,835,0,0
1574,1574,836,0,0
1575,1575,847,0,0
1576,1576,852,0,0
1577,1577,858,0,0
1578,1578,859,0,0
1579,1579,860,0,0
1580,1580,870,0,0
1581,1581,875,0,0
1582,1582,887,0,0
1583,1583,890,0,0
1584,1584,895,0,0
1585,1585,891,0,0
1586,1586,897,0,0
1587,1587,909,0,0
1588,1588,914,0,0
1589,1589,911,0,0
1590,1590,930,0,0
1591,1591,924,0,0
1592,1592,929,0,0
1593,1593,938,0,0
1594,1594,940,0,0
1595,1595,954,0,0
1596,1596,945,0,0
1597,1597,963,0,0
1598,1598,963,0,0
1599,1599,962,0,0
1600,1600,974,0,0
1601,1601,975,0,0
1602,1602,973,0,0
1603,1603,986,0,0
1604,1604,996,0,0
1605,1605,1001,0,0
1606,1606,999,0,0
1607,1607,1021,0,0
1608,1608,1027,0,0
1609,1609,1028,0,0
1610,1610,1028,0,0
1611,1611,1053,0,0
1612,1612,1060,0,0
1613,1613,1060,0,0
1614,1614,1066,0,0
1615,1615,1076,0,0
1616,1616,1092,0,0
1617,1617,1088,0,0
1618,1618,1086,0,0
1619,1619,1086,0,0
1620,1620,1085,0,0
1621,1621,1099,0,0
1622,1622,628,17,98
1623,1623,636,0,0
1624,1624,644,0,0
1625,1625,653,0,0
1626,1626,647,0,0
1627,1627,663,0,0
1628,1628,661,0,0
1629,1629,670,0,0
1630,1630,671,0,0
1631,1631,670,0,0
1632,1632,1259,0,0
1633,1633,687,0,0
1634,1634,684,0,0
1635,1635,689,0,0
1636,1636,696,0,0
1637,1637,700,0,0
1638,1638,711,0,0
1639,1639,711,0,0
1640,1640,712,0,0
1641,1641,710,0,0
1642,1642,720,0,0
1643,1643,730,0,0
1644,1644,726,0,0
1645,1645,729,0,0
1646,1646,746,0,0
1647,1647,740,0,0
1648,1648,749,0,0
1649,1649,752,0,0
1650,1650,753,0,0
1651,1651,768,0,0
1652,1652,768,0,0
1653,1653,774,0,0
1654,1654,778,0,0
1655,1655,785,0,0
1656,1656,789,0,0
1657,1657,800,0,0
1658,1658,799,0,0
1659,1659,804,0,0
1660,1660,818,0,0
1661,1661,823,0,0
1662,1662,809,0,0
1663,1663,818,0,0
1664,1664,832,0,0
1665,1665,837,0,0
1666,1666,838,0,0
1667,1667,843,0,0
1668,1668,843,0,0
1669,1669,850,0,0
1670,1670,850,0,0
1671,1671,863,0,0
1672,1672,871,0,0
1673,1673,877,0,0
1674,1674,891,0,0
1675,1675,874,0,0
1676,1676,889,0,0
1677,1677,908,0,0
1678,1678,896,0,0
1679,1679,904,0,0
1680,1680,905,0,0
1681,1681,919,0,0
1682,1682,911,0,0
1683,1683,912,0,0
1684,1684,926,0,0
1685,1685,920,0,0
1686,1686,941,0,0
1687,1687,939,0,0
1688,1688,946,0,0
1689,1689,958,0,0
1690,1690,963,0,0
1691,1691,960,0,0
1692,1692,966,0,0
1693,1693,986,0,0
1694,1694,979,0,0
1695,1695,992,0,0
1696,1696,995,0,0
1697,1697,999,0,0
1698,1698,997,0,0
1699,1699,1007,0,0
1700,1700,1008,0,0
1701,1701,1024,0,0
1702,1702,1024,0,0
1703,1703,1032,0,0
1704,1704,1035,0,0
1705,1705,1053,0,0
1706,1706,1076,0,0
1707,1707,1080,0,0
1708,1708,1084,0,0
1709,1709,1079,0,0
1710,1710,1095,0,0
1711,1711,1102,0,0
1712,1712,1101,0,0
1713,1713,1108,0,0
1714,1714,1126,0,0
1715,1715,1091,0,0
1716,1716,1126,0,0
1717,1717,616,18,95
1718,1718,623,0,0
1719,1719,627,0,0
1720,1720,631,0,0
1721,1721,630,0,0
1722,1722,632,0,0
1723,1723,640,0,0
1724,1724,638,0,0
1725,1725,650,0,0
1726,1726,644,0,0
1727,1727,650,0,0
1728,1728,651,0,0
1729,1729,659,0,0
1730,1730,659,0,0
1731,1731,669,0,0
1732,1732,673,0,0
1733,1733,681,0,0
1734,1734,678,0,0
1735,1735,692,0,0
1736,1736,691,0,0
1737,1737,690,0,0
1738,1738,698,0,0
1739,1739,701,0,0
1740,1740,712,0,0
1741,1741,708,0,0
1742,1742,717,0,0
1743,1743,727,0,0
1744,1744,721,0,0
1745,1745,730,0,0
1746,1746,735,0,0
1747,1747,729,0,0
1748,1748,745,0,0
1749,1749,746,0,0
1750,1750,753,0,0
1751,1751,757,0,0
1752,1752,757,0,0
1753,1753,771,0,0
1754,1754,763,0,0
1755,1755,778,0,0
1756,1756,775,0,0
1757,1757,784,0,0
1758,1758,785,0,0
1759,1759,794,0,0
1760,1760,801,0,0
1761,1761,806,0,0
1762,1762,814,0,0
1763,1763,814,0,0
1764,1764,826,0,0
1765,1765,826,0,0
1766,1766,844,0,0
1767,1767,831,0,0
1768,1768,833,0,0
1769,1769,842,0,0
1770,1770,851,0,0
1771,1771,862,0,0
1772,1772,856,0,0
1773,1773,859,0,0
1774,1774,868,0,0
1775,1775,875,0,0
1776,1776,885,0,0
1777,1777,896,0,0
1778,1778,887,0,0
1779,1779,890,0,0
1780,1780,895,0,0
1781,1781,890,0,0
1782,1782,911,0,0
1783,1783,927,0,0
1784,1784,919,0,0
1785,1785,923,0,0
1786,1786,937,0,0
1787,1787,940,0,0
1788,1788,938,0,0
1789,1789,944,0,0
1790,1790,944,0,0
1791,1791,969,0,0
1792,1792,969,0,0
1793,1793,990,0,0
1794,1794,989,0,0
1795,1795,984,0,0
1796,1796,996,0,0
1797,1797,1001,0,0
1798,1798,1001,0,0
1799,1799,1027,0,0
1800,1800,1025,0,0
1801,1801,1028,0,0
1802,1802,1039,0,0
1803,1803,1033,0,0
1804,1804,1052,0,0
1805,1805,1052,0,0
1806,1806,1061,0,0
1807,1807,1063,0,0
1808,1808,1064,0,0
1809,1809,1078,0,0
1810,1810,1078,0,0
1811,1811,1101,0,0
1812,1812,1107,0,0
1813,1813,1110,0,0
1814,1814,1113,0,0
1815,1815,1113,0,0
1816,1816,1116,0,0
1817,1817,1133,0,0
1818,1818,1143,0,0
1819,1819,637,19,102
1820,1820,643,0,0
1821,1821,648,0,0
1822,1822,650,0,0
1823,1823,650,0,0
1824,1824,653,0,0
1825,1825,663,0,0
1826,1826,666,0,0
1827,1827,669,0,0
1828,1828,679,0,0
1829,1829,684,0,0
1830,1830,680,0,0
1831,1831,683,0,0
1832,1832,680,0,0
1833,1833,694,0,0
1834,1834,700,0,0
1835,1835,700,0,0
1836,1836,712,0,0
1837,1837,714,0,0
1838,1838,727,0,0
1839,1839,727,0,0
1840,1840,725,0,0
1841,1841,741,0,0
1842,1842,742,0,0
1843,1843,742,0,0
1844,1844,739,0,0
1845,1845,758,0,0
1846,1846,760,0,0
1847,1847,758,0,0
1848,1848,755,0,0
1849,1849,758,0,0
1850,1850,765,0,0
1851,1851,769,0,0
1852,1852,779,0,0
1853,1853,782,0,0
1854,1854,798,0,0
1855,1855,801,0,0
1856,1856,788,0,0
1857,1857,805,0,0
1858,1858,796,0,0
1859,1859,816,0,0
1860,1860,817,0,0
1861,1861,822,0,0
1862,1862,830,0,0
1863,1863,833,0,0
1864,1864,832,0,0
1865,1865,844,0,0
1866,1866,840,0,0
1867,1867,863,0,0
1868,1868,859,0,0
1869,1869,862,0,0
1870,1870,870,0,0
1871,1871,877,0,0
1872,1872,886,0,0
1873,1873,878,0,0
1874,1874,887,0,0
1875,1875,892,0,0
1876,1876,906,0,0
1877,1877,917,0,0
1878,1878,915,0,0
1879,1879,908,0,0
1880,1880,930,0,0
1881,1881,921,0,0
1882,1882,928,0,0
1883,1883,939,0,0
1884,1884,941,0,0
1885,1885,941,0,0
1886,1886,949,0,0
1887,1887,950,0,0
1888,1888,965,0,0
1889,1889,972,0,0
1890,1890,980,0,0
1891,1891,980,0,0
1892,1892,987,0,0
1893,1893,1005,0,0
1894,1894,1003,0,0
1895,1895,1009,0,0
1896,1896,1014,0,0
1897,1897,1026,0,0
1898,1898,1028,0,0
1899,1899,1036,0,0
